id,project_id,file_name,file_type,status
254,58,Harrison_s4_p41_leader_RN_interview.pdf,pdf,SUCCEEDED
255,58,Harrison_s4_p42_leader_MD_part1 & 2_interview.pdf,pdf,SUCCEEDED
256,58,Harrison_s4_p43_clinician_RN_interview.pdf,pdf,SUCCEEDED
257,58,Harrison_s4_p44_clinican_MD_interview.pdf,pdf,SUCCEEDED
258,58,Harrison_s4_p45_clinician_CP_interview.pdf,pdf,SUCCEEDED
259,58,Harrison_s4_p46_clinician_SW_interview.pdf,pdf,SUCCEEDED
260,58,Harrison_s4_p47_leader_RN_interview.pdf,pdf,SUCCEEDED
261,58,Harrison_s4_p48_clinician_SW_interview.pdf,pdf,SUCCEEDED
262,58,Harrison_s4_p49_QI_interview.pdf,pdf,SUCCEEDED
263,58,Harrison_s4_p50_clinician_RN_interview.pdf,pdf,SUCCEEDED
264,58,Harrison_s4_p51_clinician_SW_part_1 & 2_interview.pdf,pdf,SUCCEEDED
265,58,README_Harrison.txt,txt,SUCCEEDED
266,59,Claims_dictionnary.xlsx,xlsx,SUCCEEDED
267,59,D7_2_1_Process_tracing_QCA_and_SNA_analytical_and_methodological_details.pdf,pdf,SUCCEEDED
268,59,DNA_claims_netwok_two_mode.graphmlz,graphmlz,SUCCEEDED
269,59,DNA_file_one_mode_network.gephi,gephi,SUCCEEDED
270,59,DNA_one-mode_network_data.csv,csv,SUCCEEDED
271,59,DNA_one-mode_network_edge_data.csv,csv,SUCCEEDED
272,59,DSA data Neurauy.csv,csv,SUCCEEDED
273,59,Frames_dictionnary.tab,tab,SUCCEEDED
274,59,fsQCA_consultation_data.xlsx,xlsx,SUCCEEDED
275,59,List_of_analysed_documents.docx,docx,SUCCEEDED
276,59,lobbyfacts_disinformation.tab,tab,SUCCEEDED
277,59,lobbyfacts_meetings_code of practice on disinformation.tab,tab,SUCCEEDED
278,59,lobbyfacts_meetings_edap_MERGED.tab,tab,SUCCEEDED
279,59,lobbyfacts_meetings_european_media_freedom_act_emfa_MERGED.tab,tab,SUCCEEDED
280,59,lobbyfacts_meetings_political advertising.tab,tab,SUCCEEDED
281,59,lobbyfacts_meetings_SLAPP.tab,tab,SUCCEEDED
282,59,QDA_claims.xlsx,xlsx,SUCCEEDED
283,59,QDA_Frames.xlsx,xlsx,SUCCEEDED
284,59,readme_en.txt,txt,SUCCEEDED
285,59,SNA_complete_file_edges_data.csv,csv,SUCCEEDED
286,59,SNA_complete_file_with_variable_calculation.csv,csv,SUCCEEDED
287,59,SNA_complete_network_with_analysis_data.gephi,gephi,SUCCEEDED
288,59,Spreadsheet_actors_RECLAIM.tab,tab,SUCCEEDED
289,59,triangulation_coalitions.csv,csv,SUCCEEDED
290,59,Two_mode_network_raw_data.csv,csv,SUCCEEDED
291,60,01a. README_NDC Database info v2.2 2024.docx,docx,SUCCEEDED
292,60,02a. NDC Database v2.2 definitions & key messages.xlsx,xlsx,SUCCEEDED
293,60,02b. CCAFS NDC Sub-sector Database 2023.xlsx,xlsx,SUCCEEDED
294,63,Study 1.AtlPac,atlpac,SUCCEEDED
295,64,Study 2.AtlPac,atlpac,SUCCEEDED
296,65,Study3.AtlPac,atlpac,SUCCEEDED
297,66,01README file - overview and description of all appendices in the dataset.pdf,pdf,SUCCEEDED
298,66,A - Supplement to analysis public-speaking textbooks.zip,zip,SUCCEEDED
299,66,B - Supplement to analysis public-speaking practice.zip,zip,SUCCEEDED
300,66,C - Supplement to experimental studies.zip,zip,SUCCEEDED
301,67,Appendix A- Thematic Matrix of 123 Articles.xlsx,xlsx,SUCCEEDED
302,68,CODEBOOK data analysis.docx,docx,SUCCEEDED
303,68,Focus group guide.docx,docx,SUCCEEDED
304,68,Informed consent form_ENG.docx,docx,SUCCEEDED
305,68,Informed consent form_ITA.docx,docx,SUCCEEDED
306,68,menu & food producers La Trappa .pdf,pdf,SUCCEEDED
307,68,Transcript_ Table Talk 1.docx,docx,SUCCEEDED
308,68,Transcript_Table Talk 2.docx,docx,SUCCEEDED
309,69,00_Read_Me.txt,txt,SUCCEEDED
310,69,2023_05_08_McGlade-Bouchard_Cameron_FinalFrameworkAndAnalysis-1.tab,tab,SUCCEEDED
311,69,2023_05_08_McGlade-Bouchard_Nvivo_evidence.nvpx,nvpx,SUCCEEDED
312,72,Abbildung 1.jpg,jpg,SUCCEEDED
313,72,Abbildung 2.jpg,jpg,SUCCEEDED
314,72,READ_ME.docx,docx,SUCCEEDED
